timestamp,label_1,count_1,avg_conf_1,label_2,count_2,avg_conf_2,label_3,count_3,avg_conf_3
2024-10-08 07:17:00,school bus,2,0.96,,,,,,
2024-10-08 15:10:00,school bus,2,0.77,,,,,,
2024-10-08 14:47:00,mail truck,1,0.95,,,,,,
2024-10-08 07:00:00,garbage truck,2,0.72,,,,,,
2024-10-08 23:33:00,racoon,3,0.99,,,,,,
2024-10-08 00:32:00,racoon,2,0.9,,,,,,
2024-10-08 00:02:00,police car,2,0.93,,,,,,
2024-10-08 13:48:00,bicycle,1,0.51,stroller,4,0.84,fedex truck,2,0.75
2024-10-08 16:59:00,bird,1,0.92,chipmunk,3,0.71,,,
2024-10-08 14:06:00,truck,3,0.85,,,,,,
